,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
209,5.0,38.68284789644013,17.970944444444445,optimization,Acetophenone
210,31.0,38.68284789644013,38.60833333333333,optimization,Nitrobenzene
211,0.0,38.68284789644013,28.3872453102453,optimization,Acetophenone
212,70.0,38.68284789644013,42.27085908209438,optimization,Acetophenone
213,1.0,38.68284789644013,52.26687825207988,optimization,1-ethynyl-4-methylbenzene
214,41.0,38.68284789644013,56.79215800865803,optimization,Acetophenone
215,20.0,38.68284789644013,13.4,optimization,Acetophenone
216,34.0,38.68284789644013,15.619107142857143,optimization,Acetophenone
217,56.0,38.68284789644013,68.91355189255188,optimization,Phenylacetylene
218,1.0,38.68284789644013,15.018333333333333,optimization,Acetophenone
219,0.0,38.68284789644013,44.89386969892852,optimization,Acetophenone
220,12.0,38.68284789644013,23.3875,optimization,Acetophenone
221,83.0,38.68284789644013,74.07433333333334,optimization,phenylacetylene
222,0.0,38.68284789644013,21.87172619047619,optimization,Phenylacetylene
223,8.0,38.68284789644013,19.417500000000004,optimization,Acetophenone
224,42.0,38.68284789644013,16.8,optimization,Phenylacetylene
225,17.0,38.68284789644013,76.49683333333334,optimization,Nitrobenzene
226,47.0,38.68284789644013,48.44,optimization,phenylacetylene
227,48.0,38.68284789644013,56.79215800865803,optimization,Acetophenone
228,75.0,38.68284789644013,22.998214285714283,optimization,Acetophenone
229,1.0,38.68284789644013,21.343484126984126,optimization,Nitrobenzene
230,66.0,38.68284789644013,18.192,optimization,Acetophenone
231,39.0,38.68284789644013,60.45391269841269,optimization,Nitrobenzene
232,66.0,38.68284789644013,74.82084229659228,optimization,Phenylacetylene
233,98.0,38.68284789644013,28.61074886224886,optimization,Acetophenone
234,1.0,38.68284789644013,10.719920634920634,optimization,1-ethynyl-4-methylbenzene
235,78.0,38.68284789644013,82.90958308358307,optimization,Nitrobenzene
236,44.0,38.68284789644013,36.53270238095238,optimization,Phenylacetylene
237,88.0,38.68284789644013,48.96000000000001,optimization,Nitrobenzene
238,39.0,38.68284789644013,46.307517857142855,optimization,1-ethynyl-4-methylbenzene
239,0.0,38.68284789644013,8.678424072659366,optimization,1-ethynyl-4-methylbenzene
240,1.0,38.68284789644013,21.542920634920637,optimization,1-ethynyl-4-methylbenzene
241,43.0,38.68284789644013,22.998214285714283,optimization,Acetophenone
242,48.0,38.68284789644013,30.506610028860027,optimization,Acetophenone
243,18.0,38.68284789644013,12.314749999999998,optimization,Acetophenone
244,53.0,38.68284789644013,61.93035714285714,optimization,Nitrobenzene
245,42.0,38.68284789644013,33.848333333333336,optimization,Nitrobenzene
246,52.0,38.68284789644013,22.998214285714283,optimization,Acetophenone
247,50.0,38.68284789644013,68.25155208680209,optimization,Acetophenone
248,0.0,38.68284789644013,42.421523226773225,optimization,Acetophenone
249,98.0,38.68284789644013,66.81927394827397,optimization,Acetophenone
250,0.0,38.68284789644013,33.986714285714285,optimization,Acetophenone
251,0.0,38.68284789644013,31.56,optimization,Acetophenone
252,0.0,38.68284789644013,24.6224126984127,optimization,1-ethynyl-4-methylbenzene
253,43.0,38.68284789644013,75.03139285714286,optimization,Phenylacetylene
254,74.0,38.68284789644013,63.697738095238094,optimization,Nitrobenzene
255,39.0,38.68284789644013,22.90416666666667,optimization,Phenylacetylene
256,69.0,38.68284789644013,70.51066666666665,optimization,phenylacetylene
257,14.0,38.68284789644013,8.32195238095238,optimization,Acetophenone
258,29.0,38.68284789644013,44.24730952380953,optimization,Nitrobenzene
259,89.0,38.68284789644013,71.96487138351844,optimization,phenylacetylene
260,36.0,38.68284789644013,72.2741746031746,optimization,Acetophenone
261,56.0,38.68284789644013,48.400765012765035,optimization,Acetophenone
262,23.0,38.68284789644013,17.9625,optimization,Nitrobenzene
263,45.0,38.68284789644013,43.532666666666664,optimization,Acetophenone
264,31.0,38.68284789644013,25.031231601731605,optimization,Acetophenone
265,67.0,38.68284789644013,83.88484920634923,optimization,Nitrobenzene
266,0.0,38.68284789644013,21.466782967032962,optimization,Acetophenone
267,82.0,38.68284789644013,66.81927394827397,optimization,Acetophenone
268,83.0,38.68284789644013,59.212800870697926,optimization,1-ethynyl-4-methylbenzene
269,0.0,38.68284789644013,4.427119047619048,optimization,Acetophenone
270,65.0,38.68284789644013,60.27841666666667,optimization,phenylacetylene
271,53.0,38.68284789644013,71.7775,optimization,Nitrobenzene
272,27.0,38.68284789644013,45.76166666666667,optimization,Nitrobenzene
273,44.0,38.68284789644013,41.81504365079365,optimization,Phenylacetylene
274,39.0,38.68284789644013,49.43969463869464,optimization,1-ethynyl-4-methylbenzene
275,43.0,38.68284789644013,41.04218253968253,optimization,Acetophenone
276,98.0,38.68284789644013,66.81927394827397,optimization,Acetophenone
277,75.0,38.68284789644013,73.797,optimization,phenylacetylene
278,20.0,38.68284789644013,23.71066666666666,optimization,Phenylacetylene
279,83.0,38.68284789644013,73.797,optimization,phenylacetylene
280,1.0,38.68284789644013,48.400765012765035,optimization,Acetophenone
281,72.0,38.68284789644013,71.92464285714286,optimization,Nitrobenzene
282,30.0,38.68284789644013,60.98708802308803,optimization,Acetophenone
